,filename,model,error,predicted,groundTruth,MAE,RMSE
0,nad40_color_image0.jpg,171,0,19,19,0.222,0.471
1,nad004_color_image0.jpg,171,0,20,20,0.222,0.471
2,NAD153_color_image0.jpg,171,0,20,20,0.222,0.471
3,NAD138_color_image0.jpg,171,0,21,21,0.222,0.471
4,NAD168_color_image0.jpg,171,0,23,23,0.222,0.471
5,NAD170_color_image0.jpg,171,0,25,25,0.222,0.471
6,nad50_color_image0.jpg,171,0,26,26,0.222,0.471
7,nad35_color_image0.jpg,171,-1,28,29,0.222,0.471
8,NAD162_color_image0.jpg,171,-1,33,34,0.222,0.471
9,NAD084_color_image0.jpg,172,0,19,19,0.111,0.333
10,nad001_color_image0.jpg,172,0,20,20,0.111,0.333
11,NAD122_color_image0.jpg,172,0,20,20,0.111,0.333
12,nad10_color_image0.jpg,172,0,22,22,0.111,0.333
13,NAD130_color_image0.jpg,172,-1,21,22,0.111,0.333
14,nad18_color_image0.jpg,172,0,25,25,0.111,0.333
15,NAD089_color_image0.jpg,172,1,28,27,0.111,0.333
16,nad116_color_image0.jpg,172,0,31,31,0.111,0.333
17,nad36_color_image0.jpg,172,0,37,37,0.111,0.333
18,NAD084_color_image0.jpg,173,1,20,19,0.148,0.471
19,nad005_color_image0.jpg,173,0,20,20,0.148,0.471
20,NAD113_color_image0.jpg,173,0,20,20,0.148,0.471
21,NAD138_color_image0.jpg,173,0,21,21,0.148,0.471
22,nad54_color_image0.jpg,173,0,22,22,0.148,0.471
23,nad41_color_image0.jpg,173,1,27,26,0.148,0.471
24,NAD148_color_image0.jpg,173,0,26,26,0.148,0.471
25,NAD095_color_image0.jpg,173,0,28,28,0.148,0.471
26,nad116_color_image0.jpg,173,-2,29,31,0.148,0.471
27,NAD15_color_image0.jpg,174,-1,18,19,0.622,2.477
28,nad33_color_image0.jpg,174,0,19,19,0.622,2.477
29,nad004_color_image0.jpg,174,0,20,20,0.622,2.477
30,NAD152_color_image0.jpg,174,0,20,20,0.622,2.477
31,NAD155_color_image0.jpg,174,0,20,20,0.622,2.477
32,NAD092_color_image0.jpg,174,0,22,22,0.622,2.477
33,nad31_color_image0.jpg,174,0,25,25,0.622,2.477
34,nad68_color_image0.jpg,174,-1,25,26,0.622,2.477
35,nad44_color_image0.jpg,174,-9,19,28,0.622,2.477
36,NAD162_color_image0.jpg,174,-12,22,34,0.622,2.477
37,NAD084_color_image0.jpg,175,0,19,19,0.283,1.242
